NUMEMP;TIPCOL;NUMCAD;DATALT;SEQALT;CODMOT;VALSAL;TIPSAL;PERREA
1;1;275;02/08/2020;1;3;11.288,87;1;0
1;1;275;04/05/2020;1;28;8.466,65;1;0
1;1;275;20/08/2007;1;1;7.654,00;1;0
1;1;276;01/11/2013;1;20;6.757,72;1;0
1;1;276;20/08/2007;1;1;6.315,00;1;0
1;1;277;01/07/2010;1;1;5.608,00;1;0
1;1;277;01/10/2014;1;20;7.001,30;1;0
1;1;277;01/11/2013;1;5;6.001,30;1;0
1;1;278;01/01/2021;1;3;7.265,82;1;0
1;1;278;01/01/2022;1;3;8.022,77;1;0
1;1;278;01/03/2016;1;3;5.442,97;1;0
1;1;278;01/03/2017;1;3;5.905,43;1;0
1;1;278;01/04/2015;1;20;4.933,46;1;0
1;1;278;01/08/2014;1;20;4.119,63;1;0
1;1;278;01/09/2018;1;3;6.614,85;1;0
1;1;278;01/09/2019;1;27;7.058,31;1;0
1;1;278;01/09/2021;1;3;7.634,92;1;0
1;1;278;01/09/2022;1;3;8.423,91;1;0
1;1;278;01/11/2013;1;5;4.054,63;1;0
1;1;278;01/11/2014;1;4;4.428,60;1;0
1;1;278;01/11/2015;1;20;5.278,80;1;0
1;1;278;01/11/2016;1;3;5.715,12;1;0
1;1;278;01/11/2017;1;1;6.013,50;1;0
1;1;278;01/11/2018;1;3;6.879,44;1;0
1;1;278;02/08/2020;1;3;7.058,31;1;0
1;1;278;03/09/2007;1;1;3.789,00;1;0
1;1;278;04/05/2020;1;28;5.293,73;1;0
1;1;279;13/05/2014;1;1;3.595,00;1;0
1;1;280;01/01/2021;1;3;7.972,64;1;0
1;1;280;01/01/2022;1;3;8.803,23;1;0
1;1;280;01/03/2016;1;3;6.569,70;1;0
1;1;280;01/03/2017;1;3;7.127,90;1;0
1;1;280;01/09/2019;1;27;7.744,94;1;0
1;1;280;01/09/2021;1;3;8.377,65;1;0
1;1;280;01/09/2022;1;3;9.243,39;1;0
1;1;280;01/11/2013;1;20;5.539,28;1;0
1;1;280;01/11/2014;1;20;5.954,72;1;0
1;1;280;01/11/2015;1;20;6.371,55;1;0
1;1;280;01/11/2016;1;3;6.898,19;1;0
1;1;280;01/11/2017;1;3;7.258,34;1;0
1;1;280;01/11/2018;1;3;7.548,67;1;0
1;1;280;02/08/2020;1;3;7.744,94;1;0
1;1;280;04/05/2020;1;28;5.808,71;1;0
1;1;280;13/08/2007;1;1;5.176,00;1;0
1;1;281;01/03/2016;1;3;4.448,54;1;0
1;1;281;01/06/2013;1;20;3.505,44;1;0
1;1;281;01/09/2011;1;1;2.921,00;1;0
1;1;281;01/11/2013;1;20;3.750,82;1;0
1;1;281;01/11/2014;1;20;4.032,13;1;0
1;1;281;01/11/2015;1;20;4.314,37;1;0
1;1;282;01/10/2014;1;20;4.927,20;1;0
1;1;282;01/11/2014;1;4;5.296,74;1;0
1;1;282;06/11/2013;1;1;4.106,00;1;0
1;1;283;22/04/2014;1;1;2.619,00;1;0
1;1;284;01/01/2021;1;3;5.181,51;1;0
