NUMEMP;TIPCOL;NUMCAD;DATDEM;CAUDEM;DATAVI;DATPAG;QTDIND;QTDREA;QTDSSL;QTDFCA;SALFAV;SALFGT;COMRES;REPVAG;SALBAS;AVIPRE;JORSEM;SABCOM;QTDIAC;QTDRAC;TERQUI;ATEOBI;PROTRA
2;1;942;06/04/2023;0;06/04/2023;14/04/2023;0;0;0;0;0,00;0,00;SGO - REQUISICAO N.: 202304023800039;N;0,00;1;1;1;0;0;0;;
2;1;944;01/06/2023;2;01/06/2023;09/06/2023;0;0;0;0;6000,00;0,00;SGO - REQUISICAO N.: 202306023800006;N;6000,00;1;1;1;0;0;0;;
2;1;946;12/07/2023;4;12/07/2023;21/07/2023;0;0;0;0;6500,00;0,00;SGO - REQUISICAO N.: 202307023800098;N;6500,00;1;1;1;0;0;0;;
2;1;947;14/09/2023;4;16/08/2023;22/09/2023;0;0;0;0;6640,00;0,00;SGO - REQUISICAO N.: 202309023800075;N;6640,00;1;1;1;0;0;0;;
2;1;949;18/11/2023;0;18/11/2023;27/11/2023;0;0;0;0;1320,00;0,00;SGO - REQUISICAO N.: 202311023800201;N;1320,00;1;1;1;0;0;0;;
2;1;951;02/05/2024;2;02/05/2024;10/05/2024;0;0;0;0;5789,00;0,00;SGO - REQUISICAO N.: 202405023800005;N;5789,00;1;1;1;0;0;0;;
2;1;953;03/06/2024;4;29/05/2024;12/06/2024;0;0;0;0;3101,25;0,00;;N;3101,25;;1;1;0;0;0;;
2;1;954;16/08/2024;0;16/08/2024;23/08/2024;0;0;0;0;0,00;0,00;SGO - REQUISICAO N.: 202408023800086;N;0,00;1;1;1;0;0;0;;
2;1;955;19/12/2022;2;19/12/2022;28/12/2022;0;0;0;0;5000,00;0,00;SGO - REQUISICAO N.: 202212023800074;N;5000,00;1;1;1;0;0;0;;
2;1;956;02/09/2024;2;02/09/2024;11/09/2024;0;0;0;0;6194,44;0,00;SGO - REQUISICAO N.: 202409023800019;N;6194,44;1;1;1;0;0;0;;
2;1;958;20/12/2022;2;20/12/2022;29/12/2022;0;0;0;0;8000,00;0,00;SGO - REQUISICAO N.: 202212023800080;N;8000,00;1;1;1;0;0;0;;
2;1;959;10/05/2023;4;05/05/2023;19/05/2023;0;0;0;0;4500,00;0,00;SGO - REQUISICAO N.: 202305023800191;N;4500,00;4;1;1;0;0;0;;
2;1;960;02/04/2024;2;02/04/2024;11/04/2024;0;0;0;0;7210,00;0,00;SGO - REQUISICAO N.: 202404023800016;N;7210,00;1;1;1;0;0;0;;
2;1;961;06/07/2023;2;06/07/2023;14/07/2023;0;0;0;0;3200,00;0,00;SGO - REQUISICAO N.: 202307023800089;N;3200,00;1;1;1;0;0;0;;
2;1;962;03/04/2023;2;03/04/2023;12/04/2023;0;0;0;0;4500,00;0,00;;N;4500,00;1;1;1;0;0;0;;
2;1;965;03/05/2024;2;04/04/2024;10/05/2024;0;0;0;0;8210,00;0,00;SGO - REQUISICAO N.: 202405023800026;N;8210,00;1;1;1;0;0;0;;
2;1;967;03/05/2024;2;04/04/2024;10/05/2024;0;0;0;0;4105,00;0,00;SGO - REQUISICAO N.: 202405023800047;N;4105,00;1;1;1;0;0;0;;
2;1;968;21/06/2023;4;21/06/2023;30/06/2023;0;0;0;0;10000,00;0,00;SGO - REQUISICAO N.: 202306023800085;N;10000,00;1;1;1;0;0;0;;
2;1;970;19/06/2023;4;06/06/2023;28/06/2023;0;0;0;0;4500,00;0,00;SGO - REQUISICAO N.: 202306023800073;N;4500,00;4;1;1;0;0;0;;
2;1;971;03/05/2024;2;04/04/2024;10/05/2024;0;0;0;0;7157,50;0,00;SGO - REQUISICAO N.: 202405023800037;N;7157,50;1;1;1;0;0;0;;
2;1;972;03/05/2024;2;04/04/2024;10/05/2024;0;0;0;0;4090,00;0,00;;N;4090,00;1;1;1;0;0;0;;
2;1;973;03/05/2024;2;04/04/2024;10/05/2024;0;0;0;0;7157,50;0,00;SGO - REQUISICAO N.: 202405023800032;N;7157,50;1;1;1;0;0;0;;
2;1;974;12/04/2024;2;04/04/2024;19/04/2024;0;0;0;0;6646,25;0,00;;N;6646,25;4;1;1;0;0;0;;
2;1;975;06/09/2023;2;06/09/2023;15/09/2023;0;0;0;0;4090,00;0,00;SGO - REQUISICAO N.: 202309023800037;N;4090,00;1;1;1;0;0;0;;
2;1;976;01/03/2024;0;01/03/2024;08/03/2024;0;0;0;0;1412,00;0,00;SGO - REQUISICAO N.: 202402023800090;N;1412,00;1;1;1;0;0;0;;
2;1;977;01/03/2024;0;01/03/2024;08/03/2024;0;0;0;0;1412,00;0,00;SGO - REQUISICAO N.: 202403023800016;N;1412,00;1;1;1;0;0;0;;
2;1;978;01/03/2024;0;01/03/2024;08/03/2024;0;0;0;0;1412,00;0,00;SGO - REQUISICAO N.: 202403023800017;N;1412,00;1;1;1;0;0;0;;
2;1;982;11/05/2023;2;11/05/2023;19/05/2023;0;0;0;0;4500,00;0,00;SGO - REQUISICAO N.: 202305023800200;N;4500,00;1;1;1;0;0;0;;
2;1;983;03/05/2024;2;04/04/2024;10/05/2024;0;0;0;0;10225,00;0,00;SGO - REQUISICAO N.: 202405023800024;N;10225,00;1;1;1;0;0;0;;
2;1;984;21/03/2024;0;21/03/2024;28/03/2024;0;0;0;0;1412,00;0,00;SGO - REQUISICAO N.: 202403023800114;N;1412,00;1;1;1;0;0;0;;
2;1;985;03/05/2024;2;04/04/2024;10/05/2024;0;0;0;0;7131,25;0,00;SGO - REQUISICAO N.: 202405023800020;N;7131,25;1;1;1;0;0;0;;
2;1;986;16/05/2025;2;16/05/2025;23/05/2025;0;0;0;0;6338,05;0,00;;N;6338,05;1;1;1;0;0;0;;
2;1;987;01/04/2024;4;15/03/2024;10/04/2024;0;0;0;0;4060,00;0,00;SGO - REQUISICAO N.: 202404023800012;N;4060,00;4;1;1;0;0;0;;
2;1;990;01/09/2023;0;01/09/2023;08/09/2023;0;0;0;0;7105,00;0,00;;N;7105,00;1;1;1;0;0;0;;
2;1;991;01/11/2024;4;22/10/2024;08/11/2024;0;0;0;0;14050,65;0,00;;N;14050,65;4;1;1;0;0;0;;
2;1;992;03/05/2024;2;04/04/2024;10/05/2024;0;0;0;0;7000,00;0,00;SGO - REQUISICAO N.: 202405023800036;N;7000,00;1;1;1;0;0;0;;
2;1;994;24/06/2023;12;24/06/2023;30/06/2023;0;0;0;0;5000,00;0,00;SGO - REQUISICAO N.: 202306023800074;N;5000,00;1;1;1;0;0;0;;
2;1;995;03/05/2024;2;04/04/2024;10/05/2024;0;0;0;0;4500,00;0,00;;N;4500,00;1;1;1;0;0;0;;
2;1;996;01/08/2024;2;01/08/2024;09/08/2024;0;0;0;0;2500,00;0,00;SGO - REQUISICAO N.: 202408023800019;N;2500,00;1;1;1;0;0;0;;
2;1;997;03/05/2024;2;04/04/2024;10/05/2024;0;0;0;0;10000,00;0,00;SGO - REQUISICAO N.: 202405023800025;N;10000,00;1;1;1;0;0;0;;
2;1;999;21/06/2024;4;12/06/2024;28/06/2024;0;0;0;0;4800,00;0,00;SGO - REQUISICAO N.: 202406023800128;N;4800,00;4;1;1;0;0;0;;
2;1;1000;15/10/2024;4;15/10/2024;24/10/2024;0;0;0;0;4962,36;0,00;SGO - REQUISICAO N.: 202410023800078;N;4962,36;1;1;1;0;0;0;;
2;1;1007;04/08/2025;2;04/08/2025;13/08/2025;0;0;0;0;7236,78;0,00;SGO - REQUISICAO N.: 202508023800038;N;7236,78;1;1;1;0;0;0;;
2;1;1008;15/07/2023;12;15/07/2023;21/07/2023;0;0;0;0;4500,00;0,00;SGO - REQUISICAO N.: 202307023800108;N;4500,00;1;1;1;0;0;0;;
2;1;1010;14/07/2023;14;14/07/2023;21/07/2023;0;0;0;0;9000,00;0,00;;N;9000,00;1;1;1;0;0;0;;
2;1;1012;12/05/2025;2;12/05/2025;21/05/2025;0;0;0;0;3825,15;0,00;SGO - REQUISICAO N.: 202505023800075;N;3825,15;1;1;1;0;0;0;;
2;1;1014;02/09/2024;2;02/09/2024;11/09/2024;0;0;0;0;6409,56;0,00;SGO - REQUISICAO N.: 202409023800016;N;6409,56;1;1;1;0;0;0;;
2;1;1015;02/09/2024;2;02/09/2024;11/09/2024;0;0;0;0;5996,04;0,00;SGO - REQUISICAO N.: 202409023800017;N;5996,04;1;1;1;0;0;0;;
2;1;1016;02/09/2024;2;02/09/2024;11/09/2024;0;0;0;0;5685,90;0,00;SGO - REQUISICAO N.: 202409023800015;N;5685,90;1;1;1;0;0;0;;
2;1;1020;03/05/2024;2;04/04/2024;10/05/2024;0;0;0;0;5000,00;0,00;;N;5000,00;1;1;1;0;0;0;;
2;1;1023;10/04/2024;0;10/04/2024;19/04/2024;0;0;0;0;1412,00;0,00;;N;1412,00;3;1;1;0;0;0;;
2;1;1025;27/02/2024;4;29/01/2024;29/02/2024;0;0;0;0;5000,00;0,00;;N;5000,00;;1;1;0;0;0;;
2;1;1029;26/09/2023;14;26/09/2023;29/09/2023;0;0;0;0;16500,00;0,00;;N;16500,00;;1;1;0;0;0;;
2;1;1030;01/03/2024;0;01/03/2024;08/03/2024;0;0;0;0;0,00;0,00;SGO - REQUISICAO N.: 202403023800013;N;0,00;1;1;1;0;0;0;;
2;1;1031;03/05/2024;2;04/04/2024;10/05/2024;0;0;0;0;8800,00;0,00;SGO - REQUISICAO N.: 202405023800031;N;8800,00;1;1;1;0;0;0;;
2;1;1032;14/09/2023;12;14/09/2023;22/09/2023;0;0;0;0;9000,00;0,00;SGO - REQUISICAO N.: 202309023800057;N;9000,00;1;1;1;0;0;0;;
2;1;1039;02/04/2024;2;02/04/2024;11/04/2024;0;0;0;0;5500,00;0,00;SGO - REQUISICAO N.: 202404023800018;N;5500,00;1;1;1;0;0;0;;
2;1;1042;18/01/2024;2;18/01/2024;26/01/2024;0;0;0;0;8000,00;0,00;SGO - REQUISICAO N.: 202401023800197;N;8000,00;1;1;1;0;0;0;;
2;1;1043;15/04/2024;2;15/04/2024;24/04/2024;0;0;0;0;8000,00;0,00;SGO - REQUISICAO N.: 202404023800090;N;8000,00;1;1;1;0;0;0;;
2;1;1049;02/08/2024;4;19/07/2024;09/08/2024;0;0;0;0;6500,00;0,00;SGO - REQUISICAO N.: 202408023800021;N;6500,00;4;1;1;0;0;0;;
2;1;1053;12/05/2025;2;12/05/2025;21/05/2025;0;0;0;0;4610,70;0,00;SGO - REQUISICAO N.: 202505023800073;N;4610,70;1;1;1;0;0;0;;
2;1;1054;14/04/2025;2;14/04/2025;23/04/2025;0;0;0;0;5635,30;0,00;SGO - REQUISICAO N.: 202504023800091;N;5635,30;1;1;1;0;0;0;;
2;1;1058;12/05/2025;2;12/05/2025;21/05/2025;0;0;0;0;6639,91;0,00;SGO - REQUISICAO N.: 202505023800072;N;6639,91;1;1;1;0;0;0;;
2;1;1059;12/05/2025;2;12/05/2025;21/05/2025;0;0;0;0;8172,20;0,00;SGO - REQUISICAO N.: 202505023800074;N;8172,20;1;1;1;0;0;0;;
2;1;1061;12/11/2024;4;14/10/2024;21/11/2024;0;0;0;0;14301,35;0,00;;N;14301,35;1;1;1;0;0;0;;
2;1;1064;12/06/2025;2;12/06/2025;20/06/2025;0;0;0;0;6129,15;0,00;SGO - REQUISICAO N.: 202506023800195;N;6129,15;1;1;1;0;0;0;;
2;1;1065;07/04/2025;2;07/04/2025;16/04/2025;0;0;0;0;8172,20;0,00;SGO - REQUISICAO N.: 202504023800029;N;8172,20;1;1;1;0;0;0;;
2;1;1067;08/11/2023;12;08/11/2023;17/11/2023;0;0;0;0;8000,00;0,00;SGO - REQUISICAO N.: 202311023800182;N;8000,00;1;1;1;0;0;0;;
2;1;1073;03/06/2024;2;03/06/2024;12/06/2024;0;0;0;0;8000,00;0,00;SGO - REQUISICAO N.: 202406023800019;N;8000,00;1;1;1;0;0;0;;
