NUMEMP;TIPCOL;NUMCAD;DATALT;ESTCAR;CODCAR;CODMOT;;;;;;;;;;
1;1;480;01/05/2025;1;27225;4;;;403;05/11/2018;27225;;;403;27225;27225
1;1;480;01/10/2023;1;7113;4;;;404;05/11/2018;6201;;;404;6201;6201
1;1;480;07/01/2020;1;7206;1;;;405;05/11/2018;7205;;;405;#N/D;7205
1;1;487;01/10/2023;1;27212;23;;;406;05/11/2018;7239;;;406;#N/D;7239
1;1;487;19/11/2020;1;27208;1;;;407;05/11/2018;7113;;;407;7113;7113
1;1;489;01/01/2024;1;27212;23;;;408;05/11/2018;7239;;;408;#N/D;7239
1;1;489;17/11/2020;1;27208;1;;;409;06/11/2018;7206;;;409;#N/D;7206
1;1;491;01/01/2024;1;27224;23;;;410;06/04/2017;27227;;;410;27227;27227
1;1;491;19/11/2020;1;7240;1;;;411;08/11/2018;27225;;;411;27225;27225
1;1;493;01/10/2023;1;7113;23;;;412;09/11/2018;7204;;;412;#N/D;7204
1;1;493;19/11/2020;1;7206;1;;;413;08/11/2018;7239;;;413;#N/D;7239
1;1;495;01/10/2023;1;27218;23;;;414;09/11/2018;27208;;;414;#N/D;27208
1;1;495;19/11/2020;1;7204;1;;;415;12/11/2018;27212;;;415;27212;27212
1;1;496;01/01/2024;1;27225;23;;;417;12/11/2018;6201;;;417;#N/D;6201
1;1;496;19/11/2020;1;7205;1;;;418;14/11/2018;7205;;;418;#N/D;7205
1;1;497;01/10/2023;1;27218;23;;;419;13/11/2018;7204;;;419;7204;7204
1;1;497;19/11/2020;1;7204;1;;;420;14/11/2018;12;;;420;12;12
1;1;498;01/08/2021;1;27208;4;;;421;14/11/2018;27208;;;421;#N/D;27208
1;1;498;25/11/2020;1;7206;1;;;423;19/11/2018;27212;;;423;27212;27212
1;1;502;01/10/2023;1;27216;23;;;424;21/11/2018;7205;;;424;#N/D;7205
1;1;502;01/12/2020;1;7238;1;;;425;03/12/2018;27217;;;425;27217;27217
1;1;504;01/05/2025;1;7113;4;;;426;03/12/2018;27225;;;426;27225;27225
1;1;504;01/12/2020;1;8225;1;;;427;03/12/2018;7239;;;427;#N/D;7239
1;1;509;01/10/2023;1;27212;23;;;428;03/12/2018;7239;;;428;#N/D;7239
1;1;509;02/12/2020;1;27208;1;;;429;04/12/2018;27225;;;429;27225;27225
1;1;514;01/10/2023;1;27217;23;;;430;04/12/2018;27218;;;430;27218;27218
1;1;514;02/05/2017;1;7239;1;;;431;04/12/2018;27218;;;431;27218;27218
1;1;515;01/01/2024;1;27228;23;;;432;04/12/2018;27218;;;432;27218;27218
1;1;515;01/10/2020;1;7223;23;;;433;04/12/2018;27218;;;433;27218;27218
1;1;515;01/05/2018;1;7224;4;;;434;01/06/2017;11;;;434;#N/D;11
1;1;515;01/09/2014;1;7225;4;;;435;06/12/2018;22;;;435;22;22
1;1;515;01/02/2014;1;8225;4;;;436;18/12/2018;27217;;;436;27217;27217
1;1;515;02/12/2013;1;7225;1;;;437;02/01/2019;15;;;437;15;15
1;1;516;01/01/2015;1;4208;14;;;438;02/01/2019;27217;;;438;27217;27217
1;1;516;09/08/2007;1;4201;1;;;439;23/01/2019;7205;;;439;#N/D;7205
1;1;517;01/01/2024;1;27225;23;;;440;04/02/2019;27217;;;440;27217;27217
1;1;517;03/02/2021;1;7205;1;;;441;04/02/2019;7240;;;441;#N/D;7240
1;1;519;01/01/2024;1;27224;23;;;442;04/02/2019;5;;;442;#N/D;5
1;1;519;01/05/2021;1;7240;23;;;443;04/02/2019;6;;;443;#N/D;6
1;1;519;08/03/2021;1;26;1;;;444;06/02/2019;7205;;;444;#N/D;7205
1;1;525;01/10/2023;1;27217;23;;;445;11/02/2019;11;;;445;#N/D;11
1;1;525;02/05/2017;1;7239;1;;;446;11/02/2019;7239;;;446;#N/D;7239
1;1;526;01/01/2024;1;27225;23;;;447;21/02/2019;7206;;;447;#N/D;7206
1;1;526;05/08/2021;1;7205;1;;;448;25/03/2019;2;;;448;#N/D;2
